,Name,Author,Ratings (out of 5),Reviews,Edition,Price,Books_url
1,Atomic Habits: The life-changing million copy bestseller [Paperback] James Clear,James Clear,4.6,"73,374",Paperback,₹349.00,https://www.amazon.in//Atomic-Habits-James-Clear/dp/1847941834/ref=zg_bs_books_sccl_1/000-0000000-0000000?psc=1
2,The Psychology of Money,Morgan Housel,4.6,"47,856",Paperback,₹210.00,https://www.amazon.in//Psychology-Money-Morgan-Housel/dp/9390166268/ref=zg_bs_books_sccl_2/000-0000000-0000000?psc=1
3,NTA NEET (UG) BIOLOGY | RAKSHITA SINGH,RAKSHITA SINGH,None,"18,570",Paperback,₹383.00,https://www.amazon.in//NTA-NEET-BIOLOGY-RAKSHITA-SINGH/dp/8196277598/ref=zg_bs_books_sccl_3/000-0000000-0000000?psc=1
4,"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty [Paperback] Sudha Murty",Sudha Murty,4.6,"46,829",Paperback,₹167.00,https://www.amazon.in//Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623/ref=zg_bs_books_sccl_4/000-0000000-0000000?psc=1
5,"Ikigai: The Japanese secret to a long and happy life [Hardcover] García, Héctor and Miralles, Francesc",Héctor García,4.6,"68,280",Hardcover,₹333.00,https://www.amazon.in//Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=zg_bs_books_sccl_5/000-0000000-0000000?psc=1
6,My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5,"1,085",Board book,₹399.00,https://www.amazon.in//My-First-Library-Boxset-Board/dp/9387779262/ref=zg_bs_books_sccl_6/000-0000000-0000000?psc=1
7,"Energize Your Mind: Learn the Art of Mastering Your Thoughts, Feelings and Emotions",Gaur Gopal Das,4.6,"3,051",Paperback,₹170.00,https://www.amazon.in//Energize-Your-Mind-Mastering-Thoughts/dp/0143442287/ref=zg_bs_books_sccl_7/000-0000000-0000000?psc=1
8,Brain Activity Book for Kids - 200+ Activities for Age 3+,Maple Press,4.5,3,Paperback,₹80.00,https://www.amazon.in//Brain-Activity-Book-Kids-Activities/dp/9391924298/ref=zg_bs_books_sccl_8/000-0000000-0000000?psc=1
9,CUET 2023 Commerce Domain Based on Class 12 NCERT Conducted BY NTA Including Solved Papers 2022 Including Free Online Mock Test (English Medium) (4146),Think Tank of Kiran Institute of Career Excellence & KICX,3.9,12,Unknown Binding,₹460.00,https://www.amazon.in//Commerce-Domain-Conducted-Including-English/dp/9357152415/ref=zg_bs_books_sccl_9/000-0000000-0000000?psc=1
10,Azaad: An Autobiography,Ghulam Nabi Azad,4.1,108,Hardcover,₹597.00,https://www.amazon.in//Azaad-Autobiography-Ghulam-Nabi-Azad/dp/9355205716/ref=zg_bs_books_sccl_10/000-0000000-0000000?psc=1
11,BlackBook of English Vocabulary March 2023 by Nikhil Gupta,Nikhil Kr Gupta,4.5,11,Paperback,₹270.00,https://www.amazon.in//BlackBook-English-Vocabulary-March-Nikhil/dp/8195645712/ref=zg_bs_books_sccl_11/000-0000000-0000000?psc=1
12,NTA CUET UG 2023 Section 3 General Test,Arihant Experts,4.1,"2,133",Paperback,₹140.00,https://www.amazon.in//CUET-2023-Section-General-Test/dp/9327196457/ref=zg_bs_books_sccl_12/000-0000000-0000000?psc=1
13,R D Sharma Mathematics Class 10 with MCQ in Mathematics - CBSE Examination 2023-2024,R.D. Sharma,4.5,"18,810",Paperback,₹616.00,https://www.amazon.in//Mathematics-Class-10-Examination-2022-23/dp/B09SJ365JL/ref=zg_bs_books_sccl_13/000-0000000-0000000?psc=1
14,Rich Dad Poor Dad : What The Rich Teach Their Kids About Money That The Poor And Middle Class Do Not!: (25th Anniversary Edition),Robert T. Kiyosaki,4.6,"6,654",Mass Market Paperback,₹389.00,https://www.amazon.in//Rich-Dad-Poor-Middle-Anniversary/dp/1612681131/ref=zg_bs_books_sccl_14/000-0000000-0000000?psc=1
15,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids - English Short Stories with Colourful Pictures - Read Aloud to Infants, Toddlers",Maple Press,4.4,499,Paperback,₹193.00,https://www.amazon.in//First-Mythology-Tale-Illustrated-Books/dp/9390292964/ref=zg_bs_books_sccl_15/000-0000000-0000000?psc=1
16,Kitne Ghazi Aye Kitne Ghazi Gaye: A Memoir: A True Life Account of Bravery And Sacrifice of An Army Soldier Who Served India For More Than 40 Years.,Lt Gen KJS 'Tiny' Dhillon,4.8,"72,604",Hardcover,₹376.00,https://www.amazon.in//Kitne-Ghazi-Aye-Gaye-Sacrifice/dp/0670097055/ref=zg_bs_books_sccl_16/000-0000000-0000000?psc=1
17,The Power of Your Subconscious Mind,Joseph Murphy,4.5,289,Paperback,₹85.00,https://www.amazon.in//Power-Your-Subconscious-Mind/dp/8194790832/ref=zg_bs_books_sccl_17/000-0000000-0000000?psc=1
18,Educart Abhyaas 1-20 Final Bundle of NEET Mock Test Papers (for 7th May 2023 Exam),Seep Pahuja,4.0,"9,621",Paperback,₹737.00,https://www.amazon.in//Educart-Abhyaas-Final-Bundle-Papers/dp/9357031987/ref=zg_bs_books_sccl_18/000-0000000-0000000?psc=1
19,Bhagvad Gita As It Is English New Edition,His Divine Grace A.C. Bhaktivedanta Swami Prabhupada,4.7,"9,825",Hardcover,₹259.00,https://www.amazon.in//Bhagvad-gita-as-english-new/dp/9384564192/ref=zg_bs_books_sccl_19/000-0000000-0000000?psc=1
20,Concept of Physics by H.C Verma Part - II - Session 2022-23,H.C. Verma,4.6,"6,078",Paperback,₹341.00,https://www.amazon.in//Concept-Physics-Part-2-2018-2019-Session/dp/8177092324/ref=zg_bs_books_sccl_20/000-0000000-0000000?psc=1
21,"Do It Today: Overcome procrastination, improve productivity and achieve more meaningful things [Paperback] Foroux, Darius",Darius Foroux,4.4,"21,018",Paperback,₹149.00,https://www.amazon.in//Do-Today-procrastination-productivity-meaningful/dp/0143452126/ref=zg_bs_books_sccl_21/000-0000000-0000000?psc=1
22,LIFES AMAZING SECRETS,Gaur Gopal Das,4.6,"1,290",Paperback,₹140.00,https://www.amazon.in//Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295/ref=zg_bs_books_sccl_22/000-0000000-0000000?psc=1
23,R D Sharma Mathematics Class 9 with MCQ in Mathematics - CBSE Examination 2023-2024,R.D. Sharma,4.5,"2,234",Paperback,₹573.00,https://www.amazon.in//Mathematics-Class-Sharma-Examination-2022-23/dp/B09SJ5TZZ4/ref=zg_bs_books_sccl_23/000-0000000-0000000?psc=1
24,Secondary School Mathematics for Class 9 - CBSE - by R.S. Aggarwal Examination 2023-2024,"Veena Aggarwal, R S; Aggarwal",4.5,"12,712",Paperback,₹375.00,https://www.amazon.in//Secondary-School-Mathematics-Class-Examination/dp/9350271850/ref=zg_bs_books_sccl_24/000-0000000-0000000?psc=1
25,Concept of Physics by H.C Verma Part - I - Session 2022-23,H.C. Verma,4.6,"1,231",Paperback,₹368.00,https://www.amazon.in//Concept-Physics-Part-1-2018-2019-Session/dp/8177091875/ref=zg_bs_books_sccl_25/000-0000000-0000000?psc=1
26,Don't Believe Everything You Think,Joseph Nguyen,4.6,"2,340",Paperback,₹200.00,https://www.amazon.in//Dont-Believe-Everything-You-Think/dp/935543135X/ref=zg_bs_books_sccl_26/000-0000000-0000000?psc=1
27,"Little Colouring Books for Kids (Set of 10 Books) - Gift to children for painting, drawing and colouring - Alphabets, Animals, Birds, Flags, Flowers, ... Transport, Vegetables - 3 to 6 years old",Maple Press,4.3,"135,013",Paperback,₹210.00,https://www.amazon.in//Colouring-Books-Set-10/dp/9350332167/ref=zg_bs_books_sccl_27/000-0000000-0000000?psc=1
28,The Alchemist,Paulo Coelho,4.6,"110,938",Paperback,₹208.89,https://www.amazon.in//Alchemist-Paulo-Coelho/dp/8172234988/ref=zg_bs_books_sccl_28/000-0000000-0000000?psc=1
29,How to Win Friends and Influence People,Dale Carnegie,4.5,191,Paperback,₹27.00,https://www.amazon.in//How-Win-Friends-Influence-People/dp/8194790891/ref=zg_bs_books_sccl_29/000-0000000-0000000?psc=1
30,"First Aid for the USMLE Step 1 2023, Thirty Third Edition",Matthew Sochat,4.3,"1,814",Paperback,₹999.00,https://www.amazon.in//First-USMLE-Step-Thirty-Third/dp/1264946627/ref=zg_bs_books_sccl_30/000-0000000-0000000?psc=1
31,Doglapan: The Hard Truth about Life and Start-Ups,Ashneer Grover,4.3,"23,868",Hardcover,₹324.00,https://www.amazon.in//Doglapan-Hard-Truth-about-Start-Ups/dp/067009711X/ref=zg_bs_books_sccl_1/000-0000000-0000000?psc=1
32,My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern Writing),Wonder House Books,4.4,"1,156",Paperback,₹101.00,https://www.amazon.in//First-Book-Patterns-Pencil-Control/dp/9387779319/ref=zg_bs_books_sccl_2/000-0000000-0000000?psc=1
33,The Hidden Hindu,Akshat Gupta,4.4,"1,124",Paperback,₹131.00,https://www.amazon.in//Hidden-Hindu-Akshat-Gupta/dp/0143455699/ref=zg_bs_books_sccl_3/000-0000000-0000000?psc=1
34,"Moral Story Books for Kids (Set of 10 Books) (Illustrated) - English Short Stories with Colourful Pictures - Bedtime Children Story Book - 3 Years to 6 Years Old Children - Read Aloud to Infants, Toddlers",Maple Press,4.5,11,Paperback,₹245.00,https://www.amazon.in//Moral-Story-Books-Kids-Set/dp/9391129811/ref=zg_bs_books_sccl_4/000-0000000-0000000?psc=1
35,SSC Maths 6800 TCS MCQ chapter wise 4th edition english medium I detailed explanation and short tricks,Pinnacle Publications,4.9,"203,752",Paperback,₹499.00,https://www.amazon.in//chapter-english-medium-detailed-explanation/dp/B0BW4MVR3P/ref=zg_bs_books_sccl_5/000-0000000-0000000?psc=1
36,THE SILENT PATIENT,Alex Michaelides,4.5,"8,485",Paperback,₹210.00,https://www.amazon.in//Silent-Patient-Alex-Michaelides/dp/1409181634/ref=zg_bs_books_sccl_6/000-0000000-0000000?psc=1
37,"Magic of the Lost Temple, The",Sudha Murty,4.6,"10,748",Paperback,₹170.00,https://www.amazon.in//Magic-Lost-Temple-Sudha-Murty/dp/014333316X/ref=zg_bs_books_sccl_7/000-0000000-0000000?psc=1
38,As a Man Thinketh,James Allen,4.4,33,Paperback,₹69.00,https://www.amazon.in//As-Man-Thinketh-James-Allen/dp/9386538172/ref=zg_bs_books_sccl_8/000-0000000-0000000?psc=1
39,Math Concept King All Formulas and Theorum Latest 2023 Edition | Gagan Pratap Sir | Champion Publication,Gagan Pratap Sir,3.9,"4,180",Perfect Paperback,₹120.00,https://www.amazon.in//Concept-Formulas-Theorum-Champion-Publication/dp/B0BVHGWTMN/ref=zg_bs_books_sccl_9/000-0000000-0000000?psc=1
40,Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,Wonder House Books,4.5,"3,974",Hardcover,₹179.00,https://www.amazon.in//Animals-Tales-Panchtantra-Timeless-Children/dp/9389178118/ref=zg_bs_books_sccl_10/000-0000000-0000000?psc=1
41,R D Sharma Mathematics Class 8 - CBSE Examination 2023-2024,R.D. Sharma,4.5,"4,063",Paperback,₹544.00,https://www.amazon.in//Mathematics-Class-Sharma-2018-19-Session/dp/818992804X/ref=zg_bs_books_sccl_11/000-0000000-0000000?psc=1
42,Indian Polity ( English| 6th Revised Edition) | UPSC | Civil Services Exam | State Administrative Exams,M Laxmikanth,4.5,"3,039",Paperback,₹665.00,https://www.amazon.in//Indian-English-Revised-Services-Administrative/dp/9354600352/ref=zg_bs_books_sccl_12/000-0000000-0000000?psc=1
43,"108 Panchatantra Stories for Children (Illustrated) - Story Book for Kids - Moral Stories - Bedtime Stories - 3 Years to 10 Years Old - English Short Stories for Children - Read Aloud to Infants, Toddlers",Maple Press,4.4,"1,171",Paperback,₹128.00,https://www.amazon.in//108-Panchatantra-Stories-Illustrated-children/dp/9390292921/ref=zg_bs_books_sccl_13/000-0000000-0000000?psc=1
44,Word Power Made Easy By Norman Lewis (More than 700 Pages),Norman Lewis,4.4,"1,597",Paperback,₹83.00,https://www.amazon.in//Word-Power-Norman-Lewis-Pages/dp/B09LV1KHKV/ref=zg_bs_books_sccl_14/000-0000000-0000000?psc=1
45,Secondary School Mathematics for Class 10 - CBSE - by R.S. Aggarwal Examination,"Veena Aggarwal, R S; Aggarwal",4.4,"236,760",Paperback,₹590.00,https://www.amazon.in//Secondary-School-Mathematics-Examination-2020-2021/dp/9388704517/ref=zg_bs_books_sccl_15/000-0000000-0000000?psc=1
46,Kunex It Ends With Us : ''Sometimes The One Who Loves You Is The One Who Hurts You The Most'',Colleen Hoover,4.5,10,Paperback,₹159.00,https://www.amazon.in//Ends-Us-Novel-Colleen-Hoover/dp/1501110365/ref=zg_bs_books_sccl_16/000-0000000-0000000?psc=1
47,It Starts with us and Free It ends with us,Delhi wale,4.3,280,Paperback,₹225.00,https://www.amazon.in//Starts-Free-ends-Delhi-wale/dp/B0BX5L71ZP/ref=zg_bs_books_sccl_17/000-0000000-0000000?psc=1
48,"MTG 35 Years NEET Previous Year Solved Question Papers with NEET Chapterwise Topicwise Solutions - NEET 2023 Preparation Books, Set of 3 Books NTA Neet 35 Years Questions, Physics Chemistry Biology",MTG Editorial Board,4.4,"2,099",Paperback,₹816.00,https://www.amazon.in//Previous-Question-Chapterwise-Topicwise-Solutions/dp/B0B6J6G6RT/ref=zg_bs_books_sccl_18/000-0000000-0000000?psc=1
49,Trading Chart Breakout Pattern & Candlestick Pattern Pocket Study For Beginners,Unknown Binding,4.1,12,Unknown Binding,₹219.00,https://www.amazon.in//Trading-Breakout-Pattern-Candlestick-Beginners/dp/B09Z85R4SW/ref=zg_bs_books_sccl_19/000-0000000-0000000?psc=1
50,"MTG Objective NCERT at your FINGERTIPS Biology - NCERT Notes with HD Pages, Based on NCERT Exam Archive Questions, NEET Books (Latest & Revised Edition 2023-2024)",MTG Editorial Board,4.0,,Paperback,₹567.00,https://www.amazon.in//Objective-NCERT-your-FINGERTIPS-Biology/dp/9355555946/ref=zg_bs_books_sccl_20/000-0000000-0000000?psc=1
